29.26s of 32s total (91.44%)
Dropped 132 nodes (cum <= 0.16s)
      flat  flat%   sum%        cum   cum%
     5.37s 16.78% 16.78%     19.63s 61.34%  ./eval.Comp_eval
     3.28s 10.25% 27.03%      3.55s 11.09%  ./board.(*Board).PieceSd
     1.62s  5.06% 32.09%      2.21s  6.91%  runtime.mallocgc
     1.55s  4.84% 36.94%      1.58s  4.94%  ./bit.First
     1.26s  3.94% 40.88%      4.73s 14.78%  ./eval.comp_attacks
     1.22s  3.81% 44.69%      2.28s  7.12%  ./eval.Piece_attacks_from
     0.91s  2.84% 47.53%      1.04s  3.25%  ./bit.Rest
     0.74s  2.31% 49.84%      0.74s  2.31%  runtime.mSpan_Sweep.func1
     0.71s  2.22% 52.06%      0.71s  2.22%  ./util.ASSERT
     0.62s  1.94% 54.00%      0.63s  1.97%  ./eval.attack_mg_score
     0.62s  1.94% 55.94%      0.66s  2.06%  ./piece.Is_minor
     0.59s  1.84% 57.78%     28.09s 87.78%  ./search.search
     0.53s  1.66% 59.44%      0.59s  1.84%  ./material.Score
     0.48s  1.50% 60.94%      0.65s  2.03%  ./eval.check_number
     0.45s  1.41% 62.34%      1.05s  3.28%  ./eval.capture_score
     0.41s  1.28% 63.62%      0.41s  1.28%  runtime.heapBitsSetType
     0.37s  1.16% 64.78%      1.56s  4.88%  ./board.(*Board).clear_square
     0.37s  1.16% 65.94%      1.11s  3.47%  runtime.heapBitsSweepSpan
     0.33s  1.03% 66.97%      0.33s  1.03%  ./gen.(*List).Sort
     0.30s  0.94% 67.91%      0.30s  0.94%  runtime.memclr
     0.29s  0.91% 68.81%      0.31s  0.97%  ./eval.attack_eg_score
     0.29s  0.91% 69.72%      0.33s  1.03%  ./material.Power
     0.28s  0.88% 70.59%      1.61s  5.03%  runtime.convT2E
     0.27s  0.84% 71.44%      0.68s  2.12%  ./board.(*Board).Pieces
     0.26s  0.81% 72.25%      0.26s  0.81%  ./trans.(*Table).Retrieve
     0.26s  0.81% 73.06%      2.47s  7.72%  runtime.newobject
     0.25s  0.78% 73.84%      0.54s  1.69%  ./gen.add_piece_moves_rare
